name,date_utc,rocket,launchpad,success,payloads,rocket_name,launch_site,launch_region,payload_id,payload_mass_kg,year,latitude,longitude
STP-2,2019-06-25 03:30:00+00:00,5e9d0d95eda69974db09d1ed,5e9e4502f509094188566f88,1,"['5eb0e4ccb6c3bb0006eeb23a', '5eb0e4ccb6c3bb0006eeb23b', '5eb0e4ccb6c3bb0006eeb23c', '5eb0e4ccb6c3bb0006eeb23d', '5eb0e4ccb6c3bb0006eeb23e', '5eb0e4cdb6c3bb0006eeb23f', '5eb0e4cdb6c3bb0006eeb240', '5eb0e4cdb6c3bb0006eeb241', '5eb0e4cdb6c3bb0006eeb242', '5eb0e4cdb6c3bb0006eeb243', '5eb0e4cdb6c3bb0006eeb244', '5eb0e4cdb6c3bb0006eeb245', '5eb0e4ceb6c3bb0006eeb246', '5eb0e4ceb6c3bb0006eeb247', '5eb0e4ceb6c3bb0006eeb248', '5eb0e4ceb6c3bb0006eeb249']",Falcon Heavy,KSC LC 39A,Florida,5eb0e4ccb6c3bb0006eeb23a,600.0,2019,28.6080585,-80.6039558
CRS-18,2019-07-25 22:01:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4ceb6c3bb0006eeb24a'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4ceb6c3bb0006eeb24a,2227.7,2019,,
Amos-17,2019-08-06 22:52:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cfb6c3bb0006eeb24b'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cfb6c3bb0006eeb24b,6500.0,2019,,
Starlink-1,2019-11-11 14:56:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cfb6c3bb0006eeb24c'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cfb6c3bb0006eeb24c,15600.0,2019,,
CRS-19,2019-12-05 17:29:23+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cfb6c3bb0006eeb24d'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cfb6c3bb0006eeb24d,5000.0,2019,,
JCSat 18 / Kacific 1,2019-12-17 00:10:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cfb6c3bb0006eeb24e'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cfb6c3bb0006eeb24e,6800.0,2019,,
Starlink-2,2020-01-07 02:19:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4cfb6c3bb0006eeb24f'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4cfb6c3bb0006eeb24f,15600.0,2020,,
Crew Dragon In Flight Abort Test,2020-01-19 14:00:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,1,['5eb0e4d0b6c3bb0006eeb250'],Falcon 9,KSC LC 39A,Florida,5eb0e4d0b6c3bb0006eeb250,,2020,28.6080585,-80.6039558
Starlink-3,2020-01-29 14:06:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4d0b6c3bb0006eeb251'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4d0b6c3bb0006eeb251,15600.0,2020,,
Starlink-4,2020-02-17 15:05:55+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4d0b6c3bb0006eeb252'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4d0b6c3bb0006eeb252,15600.0,2020,,
CRS-20,2020-03-07 04:50:31+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4d0b6c3bb0006eeb253'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4d0b6c3bb0006eeb253,1977.0,2020,,
